日期,增长,通胀,利率,信用,海外,美元
2009-08-24,,,,,,
2009-08-25,,,,,,
2009-08-26,,,,,,
2009-08-27,,,,,,
2009-08-28,,,,,,
2009-08-31,,,,,,
2009-09-01,,,,,,
2009-09-02,,,,,,
2009-09-03,,,,,,
2009-09-04,,,,,,
2009-09-07,,,,,,
2009-09-08,,,,,,
2009-09-09,,,,,,
2009-09-10,,,,,,
2009-09-11,,,,,,
2009-09-14,,,,,,
2009-09-15,,,,,,
2009-09-16,,,,,,
2009-09-17,,,,,,
2009-09-18,,,,,,
2009-09-21,,,,,,
2009-09-22,,,,,,
2009-09-23,,,,,,
2009-09-24,,,,,,
2009-09-25,,,,,,
2009-09-28,,,,,,
2009-09-29,,,,,,
2009-09-30,,,,,,
2009-10-09,,,,,,
2009-10-12,,,,,,
2009-10-13,,,,,,
2009-10-14,,,,,,
2009-10-15,,,,,,
2009-10-16,,,,,,
2009-10-19,,,,,,
2009-10-20,,,,,,
2009-10-21,,,,,,
2009-10-22,,,,,,
2009-10-23,,,,,,
2009-10-26,,,,,,
2009-10-27,,,,,,
2009-10-28,,,,,,
2009-10-29,,,,,,
2009-10-30,,,,,,
2009-11-02,,,,,,
2009-11-03,,,,,,
2009-11-04,,,,,,
2009-11-05,,,,,,
2009-11-06,,,,,,
2009-11-09,,,,,,
2009-11-10,,,,,,
2009-11-11,,,,,,
2009-11-12,,,,,,
2009-11-13,,,,,,
2009-11-16,,,,,,
2009-11-17,,,,,,
2009-11-18,,,,,,
2009-11-19,,,,,,
2009-11-20,,,,,,
2009-11-23,,,,,,
2009-11-24,,,,,,
2009-11-25,,,,,,
2009-11-26,,,,,,
2009-11-27,,,,,,
2009-11-30,,,,,,
2009-12-01,,,,,,
2009-12-02,,,,,,
2009-12-03,,,,,,
2009-12-04,,,,,,
2009-12-07,,,,,,
2009-12-08,,,,,,
2009-12-09,,,,,,
2009-12-10,,,,,,
2009-12-11,,,,,,
2009-12-14,,,,,,
2009-12-15,,,,,,
2009-12-16,,,,,,
2009-12-17,,,,,,
2009-12-18,,,,,,
2009-12-21,,,,,,
2009-12-22,,,,,,
2009-12-23,,,,,,
2009-12-24,,,,,,
2009-12-25,,,,,,
2009-12-28,,,,,,
2009-12-29,,,,,,
2009-12-30,,,,,,
2009-12-31,,,,,,
2010-01-04,,,,,,
2010-01-05,,,,,,
2010-01-06,,,,,,
2010-01-07,,,,,,
2010-01-08,,,,,,
2010-01-11,,,,,,
2010-01-12,,,,,,
2010-01-13,,,,,,
2010-01-14,,,,,,
2010-01-15,,,,,,
2010-01-18,,,,,,
2010-01-19,,,,,,
2010-01-20,,,,,,
2010-01-21,,,,,,
2010-01-22,,,,,,
2010-01-25,,,,,,
2010-01-26,,,,,,
2010-01-27,,,,,,
2010-01-28,,,,,,
2010-01-29,,,,,,
2010-02-01,,,,,,
2010-02-02,,,,,,
2010-02-03,,,,,,
2010-02-04,,,,,,
2010-02-05,,,,,,
2010-02-08,,,,,,
2010-02-09,,,,,,
2010-02-10,,,,,,
2010-02-11,,,,,,
2010-02-12,,,,,,
2010-02-22,,,,,,
2010-02-23,,,,,,
2010-02-24,,,,,,
2010-02-25,,,,,,
2010-02-26,,,,,,
2010-03-01,,,,,,
2010-03-02,,,,,,
2010-03-03,,,,,,
2010-03-04,,,,,,
2010-03-05,,,,,,
2010-03-08,,,,,,
2010-03-09,,,,,,
2010-03-10,,,,,,
2010-03-11,,,,,,
2010-03-12,,,,,,
2010-03-15,,,,,,
2010-03-16,,,,,,
2010-03-17,,,,,,
2010-03-18,,,,,,
2010-03-19,,,,,,
2010-03-22,,,,,,
2010-03-23,,,,,,
2010-03-24,,,,,,
2010-03-25,,,,,,
2010-03-26,,,,,,
2010-03-29,,,,,,
2010-03-30,,-0.08089584120260218,,,,
2010-03-31,,-0.08117050604328213,,,,
2010-04-01,,-0.08081828436428429,,,,
2010-04-02,,-0.07926033861236093,,,,
2010-04-06,0.11220216123536231,-0.07690117443523659,0.016361169686406107,0.014300893458482511,-0.04995287829218931,-0.04227196709362657
2010-04-07,0.11637615980521443,-0.07364506228351841,0.016379686791104575,0.014833783459011762,-0.05006656306827295,-0.040980642924396404
2010-04-08,0.11950763164753964,-0.0720945553735477,0.01649241435447224,0.01567003449135318,-0.04971988230911262,-0.03909318210014334
2010-04-09,0.12151423209182144,-0.07076468637507294,0.016692810674221237,0.01690634060927465,-0.05038097490330684,-0.03916543694097274
2010-04-12,0.12246760846784399,-0.06942790352273553,0.016655700518413807,0.017952430783273687,-0.051839190889668596,-0.043350008966512865
2010-04-13,0.12260773188098995,-0.0710564336796149,0.01669846553947374,0.01876729149878953,-0.052188993735448164,-0.046614311018078336
2010-04-14,0.1225072375330738,-0.0721064774599397,0.017001064877185224,0.019686969187605596,-0.05106478252933111,-0.04888977847031317
2010-04-15,0.12474940874023477,-0.07233130345415362,0.017635757200122226,0.020171098471695625,-0.05034067559261757,-0.050757693266123005
2010-04-16,0.12415041377246627,-0.0733761142482533,0.018210500695020393,0.020288063549230184,-0.05009691691492413,-0.04990850903439992
2010-04-19,0.11861259000976854,-0.07698942061097624,0.01875817406091773,0.019927570226767166,-0.04934436962254851,-0.04992207701651308
2010-04-20,0.11466066445064116,-0.07874867978360756,0.019161277880682226,0.01962605745531043,-0.04869944717878261,-0.05307548878502566
2010-04-21,0.11078920242972168,-0.07969180863035052,0.019568536624952726,0.01914388285172075,-0.04952333940267739,-0.054516084486636696
2010-04-22,0.10610536117832492,-0.0801385385787049,0.019812145235498235,0.01861225379747089,-0.050328441225224285,-0.05461832074148054
2010-04-23,0.1019584940877385,-0.07829520429351655,0.020245069439817076,0.018526018462858174,-0.04953541145042928,-0.053841689067118836
2010-04-26,0.10415982271070745,-0.07347397746418449,0.021025446404833392,0.01884265976952193,-0.04877077967352339,-0.05052767572471295
2010-04-27,0.10225130333020482,-0.07072863835944077,0.021627326387566592,0.019398316096342905,-0.048998054313865724,-0.04543205522934102
2010-04-28,0.09720574563563256,-0.06956383526425447,0.0222738845724606,0.019901236317201976,-0.04812312090504223,-0.040060832500152244
2010-04-29,0.09201535395032301,-0.06706144000617775,0.022530366554084802,0.020539814664118472,-0.04820538565079269,-0.035671025938228684
2010-04-30,0.08873008120233195,-0.06448890296072252,0.022654810925405888,0.02093145307837707,-0.049209140018984465,-0.03294835883334213
2010-05-04,0.08214636236942563,-0.06348620992239107,0.022292448510694562,0.0213991671206617,-0.0506153649853498,-0.025360459425040394
2010-05-05,0.076017743299992,-0.0638061523547826,0.0219051827920953,0.021839063534057956,-0.05193254027470884,-0.01747328000331072
2010-05-06,0.06898749764482126,-0.06635785237949055,0.021448144491810872,0.02259243277942735,-0.05416584769640187,-0.00833327363050107
2010-05-07,0.05993135144547268,-0.07267030086985626,0.02135329564787658,0.02294732714885428,-0.054829111044078505,-0.0006788801926161936
2010-05-10,0.05245196819046316,-0.07920135181280397,0.02133636732528532,0.02316326186774509,-0.054984341379830215,0.0106635281901446
2010-05-11,0.04485845708149605,-0.08546498637585276,0.02124818584670174,0.023204526943368275,-0.05386151136719086,0.015901741709005934
2010-05-12,0.039431556376598786,-0.09032432255907541,0.021554258765322132,0.023075760284580804,-0.052307817060007644,0.02213582153691318
2010-05-13,0.039361545875177706,-0.09345508125176938,0.021598233209751738,0.02293528383507981,-0.05010752134129426,0.026740996076117574
2010-05-14,0.040310950170318716,-0.09856983407341213,0.02158758636478253,0.023227943515871763,-0.049681660146575046,0.03488064599547469
2010-05-17,0.032587088798808894,-0.11168339524193194,0.02138001046926341,0.023385230184068018,-0.04921562513690636,0.03819886544227247
2010-05-18,0.02890155358484181,-0.12459168725196212,0.021812565981122356,0.023508847251366927,-0.050322691093299565,0.04508162010877337
2010-05-19,0.023607518462166466,-0.13743908481790135,0.02219137316513109,0.023495336152795865,-0.05099412341524501,0.04873936434372639
2010-05-20,0.01568457660094591,-0.15070277897881046,0.022753965449623603,0.02317137715811879,-0.05179503764027882,0.05361611105145769
2010-05-21,0.010141384165390344,-0.1602559677294998,0.02324475183420338,0.022447293937434054,-0.052359214074461535,0.05654726943509836
2010-05-24,0.013803693937876949,-0.16270976280122695,0.02363311580038263,0.02174515318223702,-0.05335377751164172,0.06498829181525556
2010-05-25,0.01230076270798297,-0.16567210278538935,0.023687609028570256,0.021066375802490933,-0.053693889793478555,0.06942762092668509
2010-05-26,0.013387047009934205,-0.1660282436152959,0.023476421065836917,0.020675471323959194,-0.05462122082449472,0.07783610871371005
2010-05-27,0.016119993032368996,-0.16238551344384888,0.023188091653540077,0.020308048849642324,-0.056002662284877935,0.07986189931430832
2010-05-28,0.0195476848348084,-0.15872520472140872,0.022809618911176388,0.020139193583353254,-0.056428723166202066,0.08668165903283764
2010-05-31,0.01811966154433442,-0.15712664130171905,0.022667088248859768,0.020173844698756493,-0.056179461932916785,0.09101003677018893
2010-06-01,0.017879153925344227,-0.15592818293803845,0.02240698364662208,0.020570455602640925,-0.05560701104365373,0.09360100261829718
2010-06-02,0.015386225380955576,-0.1554736833519751,0.022036242008627527,0.02090972714912742,-0.05565768437867069,0.09377074273107211
2010-06-03,0.012230750894531406,-0.15619390272744316,0.021916216858486548,0.021189691682620415,-0.05620138701245059,0.0962231418439008
2010-06-04,0.0062746128265855905,-0.15931303237972205,0.021913830229703057,0.02150777770657486,-0.058482561797969734,0.09542456995271142
2010-06-07,-0.0021251386095564317,-0.16386451967698668,0.021908355356319742,0.022164004066282716,-0.06085658717036957,0.09667209301662005
2010-06-08,-0.008188512179529317,-0.1661973406440589,0.021979120425372978,0.0227103171150691,-0.06406826423294498,0.09757485044796455
2010-06-09,-0.010579971589670945,-0.16714651116761747,0.022140430315489956,0.023428592213522448,-0.06598412688089439,0.10006217821582597
2010-06-10,-0.013432863163373887,-0.1686346115995181,0.02214804296780737,0.024264781186146056,-0.06529124969091926,0.10128041181219505
2010-06-11,-0.013254211634231905,-0.16700269644434973,0.021970999359250953,0.02502659289579512,-0.06337904586851473,0.09789282106987107
2010-06-17,-0.00728533473100057,-0.16087418197441683,0.021763854800120663,0.025592423981445123,-0.06206265612924966,0.08829442825160783
2010-06-18,-0.00232496660916226,-0.15537953114245284,0.02049170301975356,0.026505544034184814,-0.06035789030126992,0.08191935816520801
2010-06-21,0.0051111863308410665,-0.15001448890744207,0.01931375420712289,0.02712267750508124,-0.060900914984250765,0.07437951247330399
2010-06-22,0.011837345872447003,-0.14586240546961282,0.018430509610599,0.027315317531609207,-0.0626603520609853,0.07129756832461132
2010-06-23,0.01639630730173236,-0.1439345161432798,0.017564560322639533,0.027620952565523327,-0.06356895784617234,0.06855509165798024
2010-06-24,0.019184454695028164,-0.1434728378379635,0.016705479802741507,0.02752308188359076,-0.06380441712460605,0.07110881747277142
2010-06-25,0.022607330833696704,-0.14083994072203943,0.016933221142866328,0.026655644610214635,-0.06388599927578198,0.06986815545384184
2010-06-28,0.020925764863285456,1.0,0.017376574490168828,0.02559060486704512,-0.06166249626497455,0.06985949489144838
2010-06-29,0.014989359614236752,1.0,0.01819008132489408,0.02444863652576168,-0.05935345051577856,0.07111535892624299
2010-06-30,0.008921712222053513,1.0,0.019365695162476992,0.023129859949149845,-0.05737921690560954,0.0741804417435381
2010-07-01,0.001850148939058771,1.0,0.020475996140499886,0.021987047122034253,-0.05608467232402825,0.07032539347152289
2010-07-02,-2.0,1.0,-2.0,2.0,1.0,2.0
2010-07-05,-2.0,-2.0,-2.0,2.0,1.0,2.0
2010-07-06,-2.0,-2.0,-2.0,-1.0,1.0,-1.0
2010-07-07,-2.0,-2.0,-2.0,-1.0,1.0,-1.0
2010-07-08,-2.0,-2.0,1.0,-1.0,1.0,-1.0
2010-07-09,-2.0,1.0,1.0,-1.0,1.0,-1.0
2010-07-12,-2.0,1.0,1.0,-1.0,1.0,-1.0
2010-07-13,-2.0,1.0,2.0,-1.0,1.0,-1.0
2010-07-14,-2.0,1.0,2.0,-1.0,1.0,-1.0
2010-07-15,-2.0,1.0,2.0,-1.0,2.0,-1.0
2010-07-16,-2.0,1.0,2.0,-1.0,2.0,-1.0
2010-07-19,-2.0,1.0,2.0,-1.0,2.0,-1.0
2010-07-20,-2.0,2.0,2.0,-2.0,2.0,-1.0
2010-07-21,-2.0,2.0,2.0,-2.0,2.0,-1.0
2010-07-22,-2.0,2.0,2.0,-2.0,2.0,-1.0
2010-07-23,1.0,2.0,2.0,-2.0,2.0,-1.0
2010-07-26,1.0,2.0,2.0,-2.0,2.0,2.0
2010-07-27,1.0,2.0,2.0,-2.0,2.0,-2.0
2010-07-28,1.0,2.0,2.0,-2.0,2.0,-2.0
2010-07-29,1.0,2.0,2.0,1.0,2.0,-2.0
2010-07-30,1.0,2.0,2.0,1.0,2.0,-2.0
2010-08-02,1.0,2.0,2.0,1.0,2.0,-2.0
2010-08-03,1.0,2.0,2.0,1.0,2.0,-2.0
2010-08-04,2.0,2.0,2.0,1.0,2.0,-2.0
2010-08-05,2.0,2.0,2.0,1.0,2.0,-2.0
2010-08-06,2.0,2.0,2.0,1.0,2.0,-2.0
2010-08-09,2.0,2.0,2.0,1.0,2.0,-2.0
2010-08-10,2.0,2.0,2.0,1.0,2.0,-2.0
2010-08-11,2.0,2.0,2.0,-2.0,2.0,-2.0
2010-08-12,2.0,2.0,2.0,-2.0,-1.0,-2.0
2010-08-13,2.0,2.0,2.0,2.0,-1.0,-2.0
2010-08-16,2.0,2.0,2.0,2.0,-1.0,-2.0
2010-08-17,2.0,2.0,2.0,2.0,-1.0,-2.0
2010-08-18,2.0,2.0,2.0,2.0,-1.0,-2.0
2010-08-19,2.0,2.0,2.0,2.0,2.0,1.0
2010-08-20,2.0,2.0,2.0,2.0,2.0,1.0
2010-08-23,2.0,2.0,2.0,2.0,2.0,1.0
2010-08-24,2.0,2.0,2.0,2.0,2.0,1.0
2010-08-25,2.0,-1.0,2.0,2.0,2.0,1.0
2010-08-26,2.0,-1.0,2.0,2.0,2.0,1.0
2010-08-27,2.0,-1.0,2.0,2.0,2.0,1.0
2010-08-30,2.0,-1.0,2.0,2.0,2.0,1.0
2010-08-31,2.0,-1.0,2.0,2.0,2.0,1.0
2010-09-01,2.0,-1.0,-1.0,2.0,2.0,1.0
2010-09-02,2.0,2.0,-1.0,2.0,2.0,1.0
2010-09-03,2.0,2.0,-1.0,2.0,2.0,1.0
2010-09-06,2.0,2.0,-1.0,2.0,2.0,-2.0
2010-09-07,2.0,2.0,-1.0,2.0,2.0,-2.0
2010-09-08,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-09,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-10,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-13,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-14,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-15,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-16,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-17,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-20,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-21,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-27,2.0,2.0,-1.0,2.0,2.0,2.0
2010-09-28,2.0,2.0,-2.0,2.0,2.0,2.0
2010-09-29,2.0,2.0,-2.0,2.0,2.0,2.0
2010-09-30,2.0,2.0,-2.0,2.0,2.0,2.0
2010-10-08,2.0,2.0,-2.0,2.0,-1.0,-1.0
2010-10-11,2.0,2.0,-2.0,2.0,-1.0,-1.0
2010-10-12,2.0,2.0,-2.0,2.0,-1.0,-1.0
2010-10-13,2.0,2.0,-2.0,2.0,-1.0,-1.0
2010-10-14,2.0,2.0,1.0,2.0,-1.0,-1.0
2010-10-15,2.0,2.0,1.0,2.0,-1.0,-2.0
2010-10-18,2.0,2.0,1.0,2.0,-1.0,-2.0
2010-10-19,2.0,2.0,1.0,2.0,-1.0,-2.0
2010-10-20,2.0,2.0,1.0,2.0,-1.0,-2.0
2010-10-21,2.0,2.0,1.0,2.0,-1.0,-2.0
2010-10-22,2.0,2.0,1.0,2.0,-1.0,-2.0
2010-10-25,2.0,2.0,-2.0,2.0,-1.0,-2.0
2010-10-26,2.0,2.0,-2.0,2.0,-1.0,-2.0
2010-10-27,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-10-28,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-10-29,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-01,2.0,2.0,-2.0,2.0,-2.0,1.0
2010-11-02,-1.0,2.0,-2.0,2.0,-2.0,1.0
2010-11-03,-1.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-04,-1.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-05,-1.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-08,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-09,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-10,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-11,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-12,2.0,2.0,-2.0,2.0,-2.0,-2.0
2010-11-15,2.0,2.0,-2.0,-1.0,-2.0,-2.0
2010-11-16,2.0,2.0,-2.0,-1.0,-2.0,-2.0
2010-11-17,2.0,2.0,-2.0,-1.0,-2.0,-2.0
2010-11-18,2.0,2.0,-2.0,-1.0,-2.0,1.0
2010-11-19,-1.0,2.0,-2.0,-1.0,-2.0,1.0
2010-11-22,-1.0,2.0,-2.0,-1.0,-2.0,1.0
2010-11-23,-1.0,2.0,-2.0,-1.0,-2.0,1.0
2010-11-24,-1.0,2.0,-2.0,-1.0,-2.0,1.0
2010-11-25,-1.0,2.0,-2.0,-1.0,1.0,1.0
2010-11-26,-1.0,2.0,-2.0,-1.0,1.0,1.0
2010-11-29,-2.0,2.0,-2.0,-1.0,1.0,1.0
2010-11-30,-2.0,2.0,-2.0,-1.0,-2.0,1.0
2010-12-01,-2.0,2.0,-2.0,-1.0,-2.0,1.0
2010-12-02,-2.0,2.0,-2.0,-1.0,-2.0,2.0
2010-12-03,-2.0,-1.0,-2.0,-1.0,-2.0,2.0
2010-12-06,-2.0,-1.0,-2.0,-1.0,1.0,2.0
2010-12-07,-2.0,-1.0,-2.0,-1.0,1.0,2.0
2010-12-08,-2.0,-1.0,-2.0,-2.0,1.0,2.0
2010-12-09,-2.0,-1.0,-2.0,-2.0,1.0,2.0
2010-12-10,-2.0,-1.0,-2.0,-2.0,1.0,2.0
2010-12-13,-2.0,-1.0,-2.0,-2.0,1.0,2.0
2010-12-14,-2.0,-1.0,-2.0,-2.0,1.0,2.0
2010-12-15,1.0,-1.0,-2.0,-2.0,1.0,2.0
2010-12-16,1.0,-1.0,-2.0,-2.0,1.0,2.0
2010-12-17,1.0,-1.0,-2.0,-2.0,2.0,-1.0
2010-12-20,1.0,-1.0,-2.0,-2.0,2.0,-1.0
2010-12-21,1.0,-1.0,1.0,-2.0,2.0,-1.0
2010-12-22,1.0,-1.0,1.0,-2.0,2.0,-1.0
2010-12-23,1.0,-1.0,1.0,-2.0,2.0,-1.0
2010-12-24,1.0,-2.0,1.0,-2.0,2.0,-1.0
2010-12-27,1.0,-2.0,1.0,-2.0,2.0,-1.0
2010-12-28,1.0,-2.0,1.0,-2.0,2.0,-1.0
2010-12-29,1.0,-2.0,-2.0,-2.0,2.0,-1.0
2010-12-30,1.0,-2.0,-2.0,-2.0,2.0,-1.0
2010-12-31,1.0,-2.0,-2.0,-2.0,2.0,-1.0
2011-01-04,1.0,-2.0,-2.0,-2.0,-1.0,-1.0
2011-01-05,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0
2011-01-06,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0
2011-01-07,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0
2011-01-10,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0
2011-01-11,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0
2011-01-12,-2.0,-2.0,1.0,-2.0,2.0,-2.0
2011-01-13,-2.0,-2.0,1.0,-2.0,2.0,-2.0
2011-01-14,-2.0,-2.0,1.0,-2.0,2.0,-2.0
2011-01-17,-2.0,-2.0,1.0,-2.0,2.0,-2.0
2011-01-18,-2.0,-2.0,1.0,-2.0,2.0,-2.0
2011-01-19,-2.0,-2.0,1.0,-2.0,2.0,-2.0
2011-01-20,-2.0,-2.0,1.0,-2.0,-1.0,-2.0
2011-01-21,-2.0,-2.0,-2.0,-2.0,2.0,-2.0
2011-01-24,-2.0,1.0,-2.0,-2.0,2.0,-2.0
2011-01-25,-2.0,1.0,-2.0,-2.0,2.0,-2.0
2011-01-26,-2.0,1.0,-2.0,-2.0,2.0,-2.0
2011-01-27,-2.0,1.0,-2.0,-2.0,2.0,-2.0
2011-01-28,1.0,1.0,-2.0,-2.0,2.0,-2.0
2011-01-31,1.0,1.0,-2.0,-2.0,2.0,-2.0
2011-02-01,1.0,1.0,-1.0,-2.0,2.0,-2.0
2011-02-09,2.0,1.0,-1.0,-2.0,2.0,-2.0
2011-02-10,2.0,1.0,-1.0,-2.0,2.0,-2.0
2011-02-11,2.0,1.0,-1.0,-2.0,2.0,-2.0
2011-02-14,2.0,1.0,-1.0,-2.0,2.0,-2.0
2011-02-15,2.0,1.0,-1.0,-2.0,2.0,-2.0
2011-02-16,2.0,1.0,-1.0,-2.0,2.0,-2.0
2011-02-17,2.0,2.0,-1.0,-2.0,2.0,-2.0
2011-02-18,2.0,2.0,-1.0,-2.0,2.0,-2.0
2011-02-21,2.0,2.0,-2.0,-2.0,2.0,-2.0
2011-02-22,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-02-23,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-02-24,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-02-25,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-02-28,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-01,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-02,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-03,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-04,2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-07,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-08,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-09,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-10,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-11,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-14,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-15,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-16,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-17,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-18,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-21,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-22,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-23,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-24,-1.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-03-25,2.0,-1.0,-2.0,-2.0,-2.0,-2.0
2011-03-28,2.0,-1.0,-2.0,-2.0,-2.0,-2.0
2011-03-29,2.0,-1.0,-2.0,-2.0,-2.0,-2.0
2011-03-30,2.0,-1.0,-2.0,-2.0,-2.0,-2.0
2011-03-31,2.0,-1.0,-2.0,-2.0,-2.0,-2.0
2011-04-01,2.0,2.0,-2.0,-2.0,1.0,-2.0
2011-04-06,2.0,2.0,-2.0,-2.0,1.0,-2.0
2011-04-07,2.0,2.0,-2.0,-2.0,1.0,-2.0
2011-04-08,2.0,2.0,-2.0,-2.0,1.0,-2.0
2011-04-11,1.0,2.0,-2.0,-2.0,1.0,-2.0
2011-04-12,1.0,2.0,-2.0,-2.0,1.0,-2.0
2011-04-13,1.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-14,-2.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-15,-2.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-18,-2.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-19,-2.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-20,-2.0,2.0,1.0,-2.0,-2.0,-2.0
2011-04-21,-2.0,2.0,1.0,-2.0,-2.0,-2.0
2011-04-22,-2.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-25,-2.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-26,-2.0,2.0,1.0,-2.0,1.0,-2.0
2011-04-27,-2.0,2.0,1.0,-2.0,-2.0,-2.0
2011-04-28,-2.0,2.0,-2.0,-2.0,-2.0,-2.0
2011-04-29,-2.0,2.0,2.0,-2.0,-2.0,-2.0
2011-05-03,-2.0,2.0,2.0,-2.0,-2.0,-2.0
2011-05-04,-2.0,2.0,2.0,1.0,-2.0,-2.0
2011-05-05,-2.0,2.0,2.0,1.0,-2.0,-2.0
2011-05-06,-2.0,2.0,2.0,1.0,-2.0,-2.0
