,增长,通胀,利率,信用,海外,美元
2012-07-29,2.0,2.0,3.0,2.0,1.0,2.0
2012-08-05,2.0,1.0,3.0,1.0,2.0,2.0
2012-08-12,4.0,1.0,3.0,1.0,3.0,1.0
2012-08-19,3.0,1.0,3.0,1.0,3.0,2.0
2012-08-26,3.0,1.0,4.0,1.0,3.0,1.0
2012-09-02,3.0,1.0,4.0,1.0,3.0,1.0
2012-09-09,2.0,1.0,4.0,2.0,3.0,3.0
2012-09-16,2.0,1.0,4.0,2.0,2.0,2.0
2012-09-23,3.0,2.0,4.0,3.0,1.0,2.0
2012-09-30,3.0,4.0,4.0,2.0,1.0,2.0
2012-10-07,3.0,4.0,4.0,2.0,2.0,1.0
2012-10-14,3.0,4.0,4.0,2.0,4.0,1.0
2012-10-21,3.0,3.0,4.0,2.0,4.0,1.0
2012-10-28,3.0,3.0,4.0,2.0,3.0,1.0
2012-11-04,3.0,3.0,4.0,2.0,3.0,1.0
2012-11-11,3.0,2.0,4.0,2.0,3.0,1.0
2012-11-18,2.0,2.0,4.0,2.0,2.0,1.0
2012-11-25,2.0,2.0,4.0,1.0,2.0,1.0
2012-12-02,1.0,2.0,4.0,1.0,2.0,1.0
2012-12-09,1.0,2.0,4.0,1.0,2.0,1.0
2012-12-16,2.0,3.0,4.0,1.0,1.0,1.0
2012-12-23,2.0,2.0,4.0,1.0,1.0,2.0
2012-12-30,3.0,3.0,4.0,1.0,1.0,4.0
2013-01-06,4.0,4.0,4.0,1.0,1.0,4.0
2013-01-13,4.0,4.0,4.0,2.0,1.0,4.0
2013-01-20,4.0,4.0,3.0,4.0,1.0,4.0
2013-01-27,3.0,4.0,2.0,4.0,1.0,2.0
2013-02-03,2.0,4.0,1.0,4.0,1.0,2.0
2013-02-10,1.0,4.0,1.0,4.0,3.0,1.0
2013-02-17,1.0,3.0,1.0,4.0,4.0,1.0
2013-02-24,1.0,3.0,1.0,4.0,4.0,2.0
2013-03-03,2.0,3.0,1.0,3.0,4.0,2.0
2013-03-10,2.0,4.0,1.0,3.0,4.0,3.0
2013-03-17,3.0,4.0,1.0,2.0,3.0,3.0
2013-03-24,3.0,4.0,1.0,2.0,3.0,3.0
2013-03-31,3.0,4.0,2.0,3.0,2.0,3.0
2013-04-07,3.0,4.0,3.0,3.0,1.0,2.0
2013-04-14,2.0,3.0,2.0,3.0,1.0,2.0
2013-04-21,1.0,3.0,2.0,2.0,1.0,1.0
2013-04-28,1.0,1.0,3.0,4.0,1.0,1.0
2013-05-05,1.0,1.0,4.0,4.0,1.0,1.0
2013-05-12,1.0,1.0,4.0,4.0,2.0,1.0
2013-05-19,2.0,2.0,4.0,4.0,3.0,1.0
2013-05-26,3.0,3.0,3.0,4.0,4.0,1.0
2013-06-02,3.0,3.0,3.0,4.0,4.0,2.0
2013-06-09,3.0,3.0,2.0,4.0,4.0,3.0
2013-06-16,2.0,3.0,2.0,4.0,4.0,3.0
2013-06-23,2.0,3.0,2.0,4.0,4.0,2.0
2013-06-30,2.0,2.0,2.0,4.0,4.0,2.0
2013-07-07,2.0,2.0,2.0,4.0,4.0,2.0
2013-07-14,3.0,3.0,2.0,4.0,3.0,2.0
2013-07-21,4.0,4.0,2.0,4.0,3.0,2.0
2013-07-28,4.0,4.0,3.0,4.0,2.0,2.0
2013-08-04,4.0,4.0,3.0,4.0,2.0,1.0
2013-08-11,3.0,4.0,3.0,4.0,2.0,1.0
2013-08-18,1.0,4.0,3.0,4.0,2.0,1.0
2013-08-25,1.0,3.0,3.0,4.0,2.0,2.0
2013-09-01,1.0,3.0,3.0,4.0,2.0,2.0
2013-09-08,1.0,2.0,3.0,4.0,2.0,3.0
2013-09-15,1.0,1.0,1.0,4.0,1.0,4.0
2013-09-22,1.0,1.0,2.0,4.0,1.0,4.0
2013-09-29,1.0,1.0,2.0,4.0,1.0,4.0
2013-10-06,2.0,1.0,3.0,3.0,2.0,4.0
2013-10-13,4.0,1.0,3.0,1.0,2.0,4.0
2013-10-20,4.0,1.0,3.0,1.0,3.0,4.0
2013-10-27,4.0,1.0,3.0,1.0,4.0,4.0
2013-11-03,4.0,1.0,2.0,1.0,4.0,4.0
2013-11-10,4.0,2.0,4.0,1.0,3.0,4.0
2013-11-17,3.0,1.0,4.0,2.0,3.0,3.0
2013-11-24,3.0,1.0,4.0,3.0,3.0,1.0
2013-12-01,4.0,1.0,3.0,3.0,2.0,1.0
2013-12-08,4.0,1.0,3.0,3.0,2.0,1.0
2013-12-15,4.0,2.0,2.0,3.0,2.0,1.0
2013-12-22,4.0,3.0,2.0,3.0,3.0,1.0
2013-12-29,4.0,3.0,1.0,3.0,3.0,1.0
2014-01-05,3.0,2.0,1.0,3.0,3.0,1.0
2014-01-12,3.0,2.0,1.0,4.0,2.0,1.0
2014-01-19,2.0,2.0,1.0,4.0,1.0,2.0
2014-01-26,2.0,2.0,1.0,4.0,1.0,4.0
2014-02-02,2.0,2.0,1.0,4.0,1.0,4.0
2014-02-09,2.0,2.0,1.0,4.0,1.0,4.0
2014-02-16,2.0,2.0,2.0,4.0,1.0,4.0
2014-02-23,2.0,2.0,3.0,4.0,1.0,4.0
2014-03-02,2.0,2.0,4.0,4.0,1.0,3.0
2014-03-09,2.0,1.0,3.0,4.0,1.0,3.0
2014-03-16,1.0,1.0,3.0,3.0,1.0,2.0
2014-03-23,1.0,1.0,3.0,2.0,1.0,2.0
2014-03-30,2.0,1.0,2.0,1.0,1.0,2.0
2014-04-06,3.0,1.0,1.0,1.0,1.0,2.0
2014-04-13,4.0,1.0,1.0,1.0,1.0,1.0
2014-04-20,4.0,1.0,1.0,1.0,3.0,1.0
2014-04-27,4.0,1.0,1.0,1.0,4.0,1.0
2014-05-04,4.0,1.0,1.0,1.0,4.0,1.0
2014-05-11,4.0,2.0,1.0,2.0,4.0,1.0
2014-05-18,4.0,4.0,1.0,2.0,4.0,1.0
2014-05-25,3.0,4.0,1.0,3.0,4.0,1.0
2014-06-01,1.0,4.0,3.0,3.0,4.0,1.0
2014-06-08,1.0,2.0,4.0,3.0,4.0,1.0
2014-06-15,1.0,2.0,4.0,3.0,4.0,2.0
2014-06-22,1.0,2.0,4.0,2.0,4.0,2.0
2014-06-29,2.0,2.0,3.0,3.0,4.0,2.0
2014-07-06,3.0,3.0,2.0,2.0,4.0,2.0
2014-07-13,2.0,3.0,2.0,2.0,3.0,2.0
2014-07-20,2.0,3.0,2.0,3.0,3.0,3.0
2014-07-27,2.0,3.0,2.0,3.0,3.0,3.0
2014-08-03,2.0,2.0,2.0,4.0,3.0,3.0
2014-08-10,1.0,2.0,3.0,4.0,3.0,4.0
2014-08-17,1.0,2.0,4.0,4.0,3.0,4.0
2014-08-24,1.0,2.0,4.0,3.0,2.0,4.0
2014-08-31,1.0,2.0,4.0,2.0,2.0,4.0
2014-09-07,1.0,3.0,4.0,2.0,1.0,4.0
2014-09-14,1.0,4.0,4.0,2.0,2.0,4.0
2014-09-21,1.0,4.0,4.0,3.0,4.0,4.0
2014-09-28,1.0,4.0,4.0,3.0,3.0,4.0
2014-10-05,2.0,4.0,3.0,3.0,3.0,4.0
2014-10-12,3.0,4.0,1.0,3.0,2.0,4.0
2014-10-19,4.0,3.0,1.0,3.0,2.0,4.0
2014-10-26,4.0,3.0,3.0,3.0,2.0,4.0
2014-11-02,4.0,3.0,3.0,2.0,2.0,4.0
2014-11-09,4.0,3.0,4.0,2.0,2.0,3.0
2014-11-16,3.0,4.0,3.0,2.0,3.0,2.0
2014-11-23,2.0,4.0,3.0,3.0,4.0,1.0
2014-11-30,1.0,4.0,2.0,3.0,4.0,1.0
2014-12-07,2.0,4.0,2.0,3.0,4.0,1.0
2014-12-14,2.0,4.0,2.0,3.0,4.0,1.0
2014-12-21,3.0,4.0,1.0,3.0,4.0,1.0
2014-12-28,3.0,4.0,1.0,3.0,2.0,2.0
2015-01-04,4.0,4.0,1.0,3.0,1.0,2.0
2015-01-11,4.0,4.0,1.0,3.0,1.0,4.0
2015-01-18,4.0,4.0,1.0,2.0,1.0,4.0
2015-01-25,4.0,3.0,1.0,2.0,1.0,3.0
2015-02-01,4.0,2.0,1.0,3.0,1.0,3.0
2015-02-08,4.0,3.0,1.0,2.0,1.0,3.0
2015-02-15,4.0,3.0,1.0,1.0,1.0,3.0
2015-02-22,4.0,3.0,1.0,1.0,1.0,3.0
2015-03-01,4.0,3.0,1.0,1.0,2.0,3.0
2015-03-08,4.0,4.0,3.0,1.0,4.0,3.0
2015-03-15,4.0,3.0,4.0,1.0,4.0,4.0
2015-03-22,4.0,3.0,4.0,2.0,4.0,4.0
2015-03-29,4.0,3.0,4.0,2.0,4.0,4.0
2015-04-05,4.0,3.0,4.0,2.0,4.0,4.0
2015-04-12,4.0,3.0,4.0,3.0,4.0,4.0
2015-04-19,4.0,4.0,4.0,4.0,4.0,4.0
2015-04-26,4.0,4.0,4.0,4.0,4.0,4.0
2015-05-03,4.0,3.0,2.0,4.0,3.0,3.0
2015-05-10,4.0,2.0,1.0,3.0,3.0,3.0
2015-05-17,4.0,2.0,3.0,3.0,4.0,3.0
2015-05-24,4.0,2.0,3.0,3.0,4.0,3.0
2015-05-31,4.0,2.0,3.0,4.0,4.0,4.0
2015-06-07,4.0,2.0,3.0,4.0,4.0,4.0
2015-06-14,3.0,2.0,3.0,4.0,4.0,4.0
2015-06-21,2.0,1.0,3.0,4.0,4.0,3.0
2015-06-28,1.0,1.0,3.0,4.0,3.0,3.0
2015-07-05,3.0,1.0,3.0,4.0,2.0,2.0
2015-07-12,3.0,1.0,4.0,3.0,3.0,1.0
2015-07-19,3.0,1.0,4.0,4.0,4.0,2.0
2015-07-26,3.0,1.0,4.0,4.0,4.0,2.0
2015-08-02,3.0,1.0,4.0,4.0,4.0,2.0
2015-08-09,2.0,1.0,4.0,4.0,4.0,2.0
2015-08-16,2.0,1.0,4.0,4.0,4.0,2.0
2015-08-23,2.0,2.0,4.0,3.0,4.0,4.0
2015-08-30,2.0,2.0,3.0,3.0,2.0,4.0
2015-09-06,3.0,3.0,1.0,3.0,2.0,3.0
2015-09-13,4.0,3.0,1.0,3.0,2.0,3.0
2015-09-20,3.0,3.0,1.0,3.0,3.0,3.0
2015-09-27,1.0,2.0,1.0,3.0,3.0,3.0
2015-10-04,1.0,2.0,1.0,3.0,4.0,2.0
2015-10-11,1.0,3.0,1.0,3.0,4.0,2.0
2015-10-18,1.0,3.0,2.0,4.0,4.0,2.0
2015-10-25,1.0,3.0,3.0,3.0,4.0,2.0
2015-11-01,1.0,2.0,4.0,4.0,4.0,1.0
2015-11-08,1.0,2.0,3.0,4.0,4.0,1.0
2015-11-15,2.0,1.0,3.0,4.0,3.0,1.0
2015-11-22,3.0,1.0,3.0,3.0,4.0,1.0
2015-11-29,4.0,1.0,2.0,2.0,4.0,1.0
2015-12-06,4.0,1.0,2.0,2.0,4.0,1.0
2015-12-13,4.0,1.0,2.0,3.0,4.0,1.0
2015-12-20,3.0,2.0,3.0,3.0,4.0,2.0
2015-12-27,3.0,3.0,4.0,2.0,4.0,3.0
2016-01-03,3.0,3.0,4.0,2.0,4.0,3.0
2016-01-10,3.0,2.0,4.0,2.0,4.0,3.0
2016-01-17,2.0,2.0,4.0,1.0,4.0,3.0
2016-01-24,1.0,2.0,4.0,1.0,3.0,3.0
2016-01-31,1.0,2.0,4.0,1.0,3.0,3.0
2016-02-07,1.0,2.0,3.0,1.0,2.0,3.0
2016-02-14,1.0,2.0,4.0,1.0,4.0,3.0
2016-02-21,1.0,3.0,4.0,1.0,4.0,3.0
2016-02-28,1.0,4.0,4.0,1.0,4.0,3.0
2016-03-06,2.0,4.0,4.0,1.0,3.0,4.0
2016-03-13,3.0,4.0,3.0,1.0,3.0,4.0
2016-03-20,3.0,4.0,4.0,1.0,3.0,4.0
2016-03-27,3.0,4.0,4.0,1.0,2.0,4.0
2016-04-03,3.0,4.0,4.0,1.0,2.0,4.0
2016-04-10,3.0,4.0,4.0,2.0,3.0,4.0
2016-04-17,3.0,4.0,4.0,2.0,4.0,4.0
2016-04-24,3.0,3.0,4.0,2.0,4.0,4.0
2016-05-01,4.0,2.0,4.0,1.0,4.0,3.0
2016-05-08,4.0,1.0,4.0,1.0,4.0,1.0
2016-05-15,4.0,1.0,4.0,1.0,4.0,1.0
2016-05-22,4.0,1.0,4.0,1.0,4.0,1.0
2016-05-29,4.0,1.0,4.0,1.0,3.0,1.0
2016-06-05,3.0,1.0,3.0,1.0,3.0,1.0
2016-06-12,3.0,1.0,3.0,1.0,3.0,2.0
2016-06-19,3.0,1.0,2.0,1.0,2.0,1.0
2016-06-26,3.0,1.0,1.0,1.0,2.0,1.0
2016-07-03,3.0,2.0,1.0,1.0,2.0,2.0
2016-07-10,4.0,3.0,1.0,1.0,3.0,2.0
2016-07-17,4.0,3.0,1.0,1.0,2.0,2.0
2016-07-24,3.0,3.0,1.0,1.0,2.0,2.0
2016-07-31,3.0,3.0,1.0,1.0,1.0,2.0
2016-08-07,2.0,3.0,1.0,3.0,1.0,2.0
2016-08-14,2.0,3.0,1.0,3.0,1.0,2.0
2016-08-21,2.0,3.0,2.0,2.0,1.0,3.0
2016-08-28,2.0,4.0,2.0,2.0,2.0,2.0
2016-09-04,3.0,4.0,3.0,2.0,2.0,2.0
2016-09-11,3.0,4.0,3.0,1.0,2.0,3.0
2016-09-18,2.0,4.0,2.0,2.0,1.0,3.0
2016-09-25,1.0,4.0,2.0,1.0,1.0,3.0
2016-10-02,1.0,4.0,2.0,2.0,1.0,3.0
2016-10-09,1.0,4.0,3.0,3.0,1.0,3.0
2016-10-16,1.0,4.0,4.0,4.0,1.0,4.0
2016-10-23,1.0,4.0,4.0,3.0,1.0,3.0
2016-10-30,1.0,3.0,4.0,4.0,1.0,2.0
2016-11-06,1.0,3.0,4.0,4.0,2.0,2.0
2016-11-13,2.0,4.0,4.0,4.0,2.0,2.0
2016-11-20,2.0,4.0,4.0,4.0,4.0,2.0
2016-11-27,2.0,3.0,4.0,4.0,4.0,2.0
2016-12-04,2.0,3.0,3.0,4.0,4.0,2.0
2016-12-11,2.0,2.0,3.0,4.0,4.0,3.0
2016-12-18,2.0,2.0,2.0,4.0,4.0,4.0
2016-12-25,1.0,2.0,2.0,4.0,3.0,4.0
2017-01-01,1.0,1.0,2.0,4.0,2.0,4.0
2017-01-08,1.0,1.0,2.0,4.0,2.0,4.0
2017-01-15,2.0,1.0,2.0,4.0,2.0,3.0
2017-01-22,2.0,1.0,2.0,4.0,2.0,2.0
2017-01-29,2.0,1.0,1.0,4.0,2.0,2.0
2017-02-05,2.0,1.0,1.0,4.0,1.0,2.0
2017-02-12,2.0,1.0,1.0,4.0,1.0,2.0
2017-02-19,3.0,1.0,1.0,4.0,1.0,2.0
2017-02-26,4.0,1.0,1.0,4.0,1.0,2.0
2017-03-05,4.0,2.0,1.0,4.0,1.0,2.0
2017-03-12,2.0,3.0,1.0,3.0,1.0,3.0
2017-03-19,2.0,3.0,1.0,3.0,1.0,4.0
2017-03-26,2.0,2.0,1.0,2.0,1.0,4.0
2017-04-02,2.0,2.0,2.0,2.0,1.0,4.0
2017-04-09,2.0,2.0,2.0,2.0,1.0,4.0
2017-04-16,3.0,2.0,2.0,3.0,1.0,4.0
2017-04-23,3.0,2.0,2.0,3.0,4.0,4.0
2017-04-30,3.0,3.0,2.0,3.0,4.0,4.0
2017-05-07,3.0,3.0,2.0,2.0,4.0,4.0
2017-05-14,2.0,4.0,4.0,2.0,4.0,3.0
2017-05-21,2.0,4.0,4.0,1.0,3.0,4.0
2017-05-28,2.0,3.0,4.0,1.0,2.0,4.0
2017-06-04,2.0,3.0,4.0,1.0,2.0,3.0
2017-06-11,2.0,3.0,3.0,1.0,2.0,3.0
2017-06-18,1.0,1.0,3.0,1.0,1.0,3.0
2017-06-25,1.0,1.0,3.0,1.0,2.0,2.0
2017-07-02,1.0,1.0,2.0,1.0,2.0,3.0
2017-07-09,1.0,1.0,1.0,1.0,3.0,3.0
2017-07-16,1.0,1.0,1.0,1.0,4.0,3.0
2017-07-23,1.0,1.0,1.0,3.0,4.0,4.0
2017-07-30,1.0,2.0,1.0,4.0,3.0,4.0
2017-08-06,2.0,3.0,1.0,3.0,3.0,3.0
2017-08-13,2.0,3.0,1.0,3.0,3.0,3.0
2017-08-20,2.0,3.0,1.0,3.0,3.0,3.0
2017-08-27,3.0,2.0,2.0,2.0,4.0,2.0
2017-09-03,4.0,2.0,2.0,2.0,4.0,1.0
2017-09-10,4.0,2.0,3.0,2.0,4.0,1.0
2017-09-17,3.0,1.0,3.0,2.0,3.0,1.0
2017-09-24,3.0,1.0,2.0,1.0,2.0,1.0
2017-10-01,4.0,1.0,2.0,1.0,1.0,1.0
2017-10-08,4.0,1.0,1.0,1.0,1.0,1.0
2017-10-15,4.0,2.0,1.0,1.0,1.0,1.0
2017-10-22,4.0,3.0,2.0,2.0,1.0,1.0
2017-10-29,3.0,3.0,3.0,2.0,1.0,2.0
2017-11-05,2.0,4.0,3.0,2.0,1.0,4.0
2017-11-12,4.0,4.0,2.0,2.0,1.0,4.0
2017-11-19,4.0,3.0,2.0,2.0,2.0,4.0
2017-11-26,3.0,4.0,2.0,1.0,2.0,3.0
2017-12-03,3.0,4.0,2.0,2.0,2.0,2.0
2017-12-10,2.0,4.0,2.0,2.0,1.0,2.0
2017-12-17,2.0,4.0,3.0,3.0,1.0,2.0
2017-12-24,1.0,4.0,3.0,4.0,1.0,2.0
2017-12-31,1.0,4.0,3.0,4.0,2.0,2.0
2018-01-07,1.0,4.0,3.0,4.0,2.0,2.0
2018-01-14,1.0,1.0,3.0,3.0,3.0,1.0
2018-01-21,1.0,1.0,2.0,1.0,3.0,1.0
2018-01-28,1.0,1.0,2.0,1.0,3.0,1.0
2018-02-04,1.0,1.0,1.0,2.0,4.0,1.0
2018-02-11,2.0,1.0,1.0,2.0,4.0,1.0
2018-02-18,2.0,2.0,1.0,2.0,3.0,1.0
2018-02-25,3.0,2.0,1.0,2.0,2.0,1.0
2018-03-04,4.0,3.0,1.0,3.0,2.0,1.0
2018-03-11,4.0,3.0,1.0,1.0,2.0,1.0
2018-03-18,4.0,2.0,2.0,1.0,3.0,1.0
2018-03-25,4.0,2.0,3.0,1.0,3.0,1.0
2018-04-01,4.0,2.0,4.0,1.0,2.0,1.0
2018-04-08,4.0,3.0,4.0,1.0,1.0,1.0
2018-04-15,3.0,2.0,4.0,1.0,1.0,2.0
2018-04-22,3.0,3.0,4.0,2.0,2.0,3.0
2018-04-29,2.0,3.0,3.0,2.0,2.0,4.0
2018-05-06,3.0,4.0,3.0,2.0,2.0,3.0
2018-05-13,3.0,4.0,3.0,2.0,2.0,2.0
2018-05-20,3.0,4.0,2.0,2.0,2.0,2.0
2018-05-27,3.0,4.0,2.0,1.0,2.0,2.0
2018-06-03,3.0,3.0,2.0,1.0,1.0,2.0
2018-06-10,4.0,3.0,2.0,1.0,1.0,2.0
2018-06-17,2.0,2.0,2.0,1.0,1.0,2.0
2018-06-24,4.0,2.0,1.0,3.0,1.0,1.0
2018-07-01,4.0,2.0,1.0,4.0,1.0,2.0
2018-07-08,3.0,3.0,1.0,3.0,1.0,2.0
2018-07-15,2.0,3.0,1.0,3.0,1.0,2.0
2018-07-22,2.0,3.0,1.0,3.0,1.0,1.0
2018-07-29,2.0,1.0,1.0,3.0,1.0,1.0
2018-08-05,2.0,1.0,1.0,3.0,1.0,2.0
2018-08-12,2.0,1.0,1.0,2.0,1.0,2.0
2018-08-19,2.0,1.0,2.0,2.0,2.0,3.0
2018-08-26,2.0,1.0,3.0,1.0,4.0,4.0
2018-09-02,3.0,1.0,4.0,1.0,4.0,4.0
2018-09-09,3.0,1.0,4.0,1.0,4.0,4.0
2018-09-16,2.0,1.0,4.0,1.0,3.0,3.0
2018-09-23,2.0,1.0,4.0,1.0,2.0,1.0
2018-09-30,1.0,2.0,4.0,1.0,1.0,1.0
2018-10-07,1.0,4.0,4.0,1.0,1.0,1.0
2018-10-14,1.0,4.0,4.0,1.0,2.0,1.0
2018-10-21,1.0,4.0,4.0,1.0,3.0,1.0
2018-10-28,1.0,4.0,4.0,2.0,3.0,1.0
2018-11-04,1.0,4.0,4.0,2.0,3.0,1.0
2018-11-11,2.0,4.0,3.0,3.0,2.0,1.0
2018-11-18,3.0,3.0,3.0,3.0,2.0,1.0
2018-11-25,4.0,3.0,3.0,3.0,2.0,3.0
2018-12-02,4.0,2.0,2.0,3.0,2.0,4.0
2018-12-09,4.0,2.0,2.0,2.0,2.0,4.0
2018-12-16,2.0,2.0,2.0,2.0,1.0,4.0
2018-12-23,2.0,2.0,2.0,2.0,1.0,3.0
2018-12-30,3.0,2.0,3.0,2.0,1.0,3.0
2019-01-06,4.0,2.0,2.0,2.0,1.0,3.0
2019-01-13,4.0,2.0,2.0,2.0,1.0,3.0
2019-01-20,3.0,2.0,1.0,2.0,1.0,3.0
2019-01-27,3.0,1.0,1.0,2.0,1.0,4.0
2019-02-03,3.0,1.0,1.0,3.0,1.0,4.0
2019-02-10,2.0,1.0,1.0,2.0,3.0,4.0
2019-02-17,2.0,1.0,1.0,3.0,3.0,3.0
2019-02-24,2.0,1.0,1.0,4.0,2.0,3.0
2019-03-03,4.0,2.0,2.0,4.0,2.0,3.0
2019-03-10,4.0,4.0,3.0,4.0,2.0,3.0
2019-03-17,4.0,4.0,3.0,4.0,2.0,2.0
2019-03-24,4.0,3.0,3.0,4.0,3.0,2.0
2019-03-31,4.0,3.0,3.0,3.0,3.0,1.0
2019-04-07,4.0,2.0,3.0,4.0,3.0,1.0
2019-04-14,3.0,2.0,3.0,4.0,4.0,1.0
2019-04-21,3.0,2.0,3.0,3.0,4.0,1.0
2019-04-28,3.0,2.0,3.0,3.0,4.0,1.0
2019-05-05,3.0,2.0,3.0,3.0,4.0,2.0
2019-05-12,4.0,1.0,3.0,2.0,4.0,3.0
2019-05-19,4.0,1.0,3.0,2.0,4.0,3.0
2019-05-26,4.0,1.0,3.0,2.0,4.0,3.0
2019-06-02,4.0,1.0,3.0,2.0,4.0,2.0
2019-06-09,4.0,1.0,2.0,1.0,3.0,2.0
2019-06-16,4.0,1.0,2.0,1.0,1.0,2.0
2019-06-23,4.0,1.0,2.0,1.0,1.0,2.0
2019-06-30,4.0,1.0,1.0,1.0,1.0,2.0
2019-07-07,4.0,2.0,1.0,1.0,1.0,2.0
2019-07-14,4.0,3.0,1.0,1.0,1.0,2.0
2019-07-21,4.0,2.0,1.0,1.0,1.0,1.0
2019-07-28,4.0,2.0,1.0,1.0,1.0,1.0
2019-08-04,4.0,2.0,1.0,1.0,1.0,1.0
2019-08-11,4.0,2.0,2.0,4.0,2.0,1.0
2019-08-18,4.0,3.0,2.0,3.0,4.0,1.0
2019-08-25,1.0,3.0,3.0,3.0,4.0,1.0
2019-09-01,1.0,4.0,4.0,2.0,4.0,2.0
2019-09-08,1.0,4.0,4.0,2.0,4.0,3.0
2019-09-15,1.0,4.0,4.0,2.0,4.0,4.0
2019-09-22,1.0,4.0,4.0,2.0,2.0,4.0
